node_id,node_name,node_type,stage,value_role,cost_role,evidence_level,source_id,degree,in_degree,out_degree,weighted_degree,weighted_in_degree,weighted_out_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,weighted_degree_rank,betweenness_rank,pagerank_rank,community,interpretation,note
N002,AI赋能虚拟电厂平台,platform,all,dispatcher,dispatch_cost,company,S004,21,11,10,83.0,44.0,39.0,0.567568,0.483108,1.78744,0.146475,1,1,1,0,AI赋能虚拟电厂平台同时具备高连接强度和桥梁作用，是跨资源、算法、市场和客户的关键协调节点。,连接资源、负荷、算法和市场的调度平台
N009,工商业用户侧负荷,resource,2024,demand_flexibility,coordination_cost,industry,S006,7,4,3,25.0,14.0,11.0,0.189189,0.146396,1.508152,0.107594,6,5,2,0,工商业用户侧负荷在整体网络中影响力靠前，可作为价值创造路径的重点解释对象。,需求响应和虚拟电厂调节的关键负荷
N017,能源调度模型,capability,all,optimization_engine,dispatch_cost,company,S004,6,5,1,25.0,20.0,5.0,0.162162,0.096847,1.390977,0.073033,6,7,3,2,能源调度模型在整体网络中影响力靠前，可作为价值创造路径的重点解释对象。,把数据转化为虚拟电厂调度决策
N015,工业负荷模型,capability,2024,load_forecaster,dispatch_cost,company,S004,4,3,1,14.0,10.0,4.0,0.108108,0.012012,1.215107,0.057771,18,22,4,0,工业负荷模型在整体网络中影响力靠前，可作为价值创造路径的重点解释对象。,识别工业侧可调节能力
N004,零碳园区能源平台,platform,2025,scenario_operator,coordination_cost,simulated,S002,9,7,2,29.0,22.0,7.0,0.243243,0.007883,1.336544,0.056454,4,24,5,3,零碳园区能源平台在整体网络中影响力靠前，可作为价值创造路径的重点解释对象。,面向园区综合能源和低碳服务的场景节点
N030,AIDC/智算客户,customer,2025,computing_customer,energy_cost,industry,S007,8,7,1,30.0,26.0,4.0,0.216216,0.034535,1.428571,0.053495,3,14,6,3,AIDC/智算客户体现需求侧价值共创，是网络收益回流的重要端点。,需要稳定、低碳和可追溯电力供应
N010,数据中心/AIDC负荷,resource,2025,computing_load,energy_cost,industry,S007,5,2,3,17.0,8.0,9.0,0.135135,0.0503,1.080818,0.051097,11,12,7,3,数据中心/AIDC负荷在网络中承担computing_load角色，支撑energy_cost管理。,算力增长带来的高可靠低碳用能需求
N029,园区客户,customer,2025,scenario_customer,coordination_cost,simulated,S002,4,3,1,14.0,11.0,3.0,0.108108,0.02027,1.303582,0.050083,18,21,8,0,园区客户体现需求侧价值共创，是网络收益回流的重要端点。,零碳园区和综合能源服务需求主体
N036,调节收益分成机制,market,2026,value_share_rule,revenue_share,simulated,S006,5,3,2,18.0,11.0,7.0,0.135135,0.286787,1.205212,0.046355,9,3,9,1,调节收益分成机制承担交易或价值分配功能，连接调节能力和收益结果。,将辅助服务和需求响应收益转化为合作激励
N028,工业用户,customer,2024,demand_owner,energy_cost,industry,S006,4,3,1,15.0,11.0,4.0,0.108108,0.04955,1.474104,0.042742,16,13,10,0,工业用户体现需求侧价值共创，是网络收益回流的重要端点。,参与需求响应并获得节能收益
N001,协鑫能科,company,all,ecosystem_orchestrator,coordination_cost,company,S001,11,4,7,41.0,14.0,27.0,0.297297,0.388889,1.081344,0.037531,2,2,11,2,协鑫能科同时具备高连接强度和桥梁作用，是跨资源、算法、市场和客户的关键协调节点。,公司核心主体，承接电力与算力协同战略
N024,辅助服务市场,market,2024,flexibility_market,transaction_cost,official,S006,4,3,1,16.0,12.0,4.0,0.108108,0.228604,1.487936,0.022846,13,4,12,1,辅助服务市场承担交易或价值分配功能，连接调节能力和收益结果。,将调节能力转化为市场收益
N023,电力现货市场,market,2024,price_signal,transaction_cost,official,S006,5,4,1,19.0,16.0,3.0,0.135135,0.001877,1.436893,0.022163,8,25,13,1,电力现货市场承担交易或价值分配功能，连接调节能力和收益结果。,提供价格信号和交易收益空间
N035,节能收益共享机制,market,2026,value_share_rule,revenue_share,simulated,S006,3,1,2,13.0,5.0,8.0,0.081081,0.024024,1.131498,0.021504,22,19,14,0,节能收益共享机制承担交易或价值分配功能，连接调节能力和收益结果。,将节能和削峰收益在客户与平台间分配
