node_id,node_name,node_type,stage,value_role,cost_role,evidence_level,source_id,note
N001,协鑫能科,company,all,ecosystem_orchestrator,coordination_cost,company,S001,公司核心主体，承接电力与算力协同战略
N002,AI赋能虚拟电厂平台,platform,all,dispatcher,dispatch_cost,company,S004,连接资源、负荷、算法和市场的调度平台
N003,能源交易平台,platform,2024,market_connector,transaction_cost,company,S002,支撑电力交易、绿电交易和辅助服务收益
N004,零碳园区能源平台,platform,2025,scenario_operator,coordination_cost,simulated,S002,面向园区综合能源和低碳服务的场景节点
N005,清洁能源资源,resource,all,resource_holder,energy_cost,official,S005,绿电供给和低碳算力的基础资源
N006,热电联产资源,resource,2024,resource_holder,energy_cost,company,S002,公司能源资产与稳定供能能力的组成部分
N007,新型储能,resource,2025,flexibility_buffer,flexibility_cost,industry,S005,提升调节能力并降低峰谷波动成本
N008,充换电与可调负荷,resource,2024,flexible_load,flexibility_cost,company,S002,来自充换电和终端侧的可调节资源
N009,工商业用户侧负荷,resource,2024,demand_flexibility,coordination_cost,industry,S006,需求响应和虚拟电厂调节的关键负荷
N010,数据中心/AIDC负荷,resource,2025,computing_load,energy_cost,industry,S007,算力增长带来的高可靠低碳用能需求
N011,气象数据资源,resource,2024,data_input,coordination_cost,company,S004,用于预测新能源出力和负荷波动
N012,设备运行数据,resource,2024,data_input,operation_cost,company,S004,用于设备状态监测和调度评估
N013,电价与市场数据,resource,2024,data_input,transaction_cost,company,S004,用于现货和辅助服务收益优化
N014,政策与碳约束数据,policy,2024,rule_input,green_compliance_cost,official,S005,用于反映电力市场化、绿电和低碳约束
N015,工业负荷模型,capability,2024,load_forecaster,dispatch_cost,company,S004,识别工业侧可调节能力
N016,分布式能源负荷预测模型,capability,2024,resource_forecaster,dispatch_cost,company,S004,预测分布式资源和负荷曲线
N017,能源调度模型,capability,all,optimization_engine,dispatch_cost,company,S004,把数据转化为虚拟电厂调度决策
N018,收益优化模型,capability,2026,revenue_optimizer,transaction_cost,company,S004,平衡电力交易、辅助服务和需求响应收益
N019,算法评估模型,capability,2026,model_governance,coordination_cost,company,S004,评估算法稳定性和场景适配性
N020,新型电力系统行动方案（2024-2027年）,policy,2024,policy_driver,green_compliance_cost,official,S005,2024-2027 战略阶段的政策背景
N021,数据中心绿色低碳政策,policy,2025,policy_driver,green_compliance_cost,official,S007,推动算力中心与绿电资源协同
N022,电力市场化改革规则,policy,2024,market_rule,transaction_cost,official,S006,影响现货、辅助服务和需求响应市场机制
N023,电力现货市场,market,2024,price_signal,transaction_cost,official,S006,提供价格信号和交易收益空间
N024,辅助服务市场,market,2024,flexibility_market,transaction_cost,official,S006,将调节能力转化为市场收益
N025,绿电交易市场,market,2025,green_premium_market,green_compliance_cost,official,S005,支撑绿色电力消费和低碳溢价
N026,碳交易与绿证市场,market,2026,carbon_value_market,green_compliance_cost,industry,S005,把碳约束转化为合规与价值证明
N027,需求响应市场,market,2024,demand_response_market,flexibility_cost,official,S006,释放用户侧负荷调节价值
N028,工业用户,customer,2024,demand_owner,energy_cost,industry,S006,参与需求响应并获得节能收益
N029,园区客户,customer,2025,scenario_customer,coordination_cost,simulated,S002,零碳园区和综合能源服务需求主体
N030,AIDC/智算客户,customer,2025,computing_customer,energy_cost,industry,S007,需要稳定、低碳和可追溯电力供应
N031,公共机构客户,customer,2026,public_customer,green_compliance_cost,industry,S005,公共低碳治理和能效管理需求主体
N032,设备供应商,partner,2024,technology_supplier,operation_cost,simulated,S004,支撑设备数据采集和储能等硬件能力
N033,算力生态伙伴,partner,2025,computing_partner,coordination_cost,industry,S007,连接算力需求、能源服务和客户场景
N034,地方能源平台,partner,2025,local_coordinator,coordination_cost,industry,S006,支撑地方资源接入和市场规则落地
N035,节能收益共享机制,market,2026,value_share_rule,revenue_share,simulated,S006,将节能和削峰收益在客户与平台间分配
N036,调节收益分成机制,market,2026,value_share_rule,revenue_share,simulated,S006,将辅助服务和需求响应收益转化为合作激励
N037,绿色溢价机制,market,2027,green_value_rule,green_compliance_cost,simulated,S007,支撑绿电、绿证和低碳算力价值证明
N038,安全合规与运维流程,capability,2027,process_innovation,operation_cost,simulated,S004,通过流程创新降低运维和协同风险
