source,target,edge_type,weight,stage,scenario,cost_mechanism,value_outcome,evidence_source,evidence_level,note
N020,N001,policy_constraint,5,2024,战略规划,绿色合规成本,明确 2024-2027 新型电力系统转型方向,S005,official,官方行动方案形成战略外部约束
N020,N002,policy_constraint,4,2024,虚拟电厂,调度成本,提升新型电力系统调节能力,S005,official,虚拟电厂承担灵活性资源聚合
N022,N003,policy_constraint,5,2024,电力交易,交易成本,推动平台接入市场化交易规则,S006,official,市场规则影响交易平台价值
N022,N023,policy_constraint,5,2024,电力现货,交易成本,形成价格信号和风险管理需求,S006,official,现货市场提供价格发现机制
N022,N024,policy_constraint,4,2024,辅助服务,交易成本,释放灵活调节资源收益,S006,official,辅助服务连接储能和可调负荷
N022,N027,policy_constraint,4,2024,需求响应,柔性成本,扩大用户侧调节价值,S006,official,需求响应是用户侧协同入口
N021,N010,policy_constraint,4,2025,AIDC,绿色合规成本,推动数据中心低碳用能,S007,official,政策回应算力与绿电协同
N021,N030,policy_constraint,4,2025,AIDC,绿色合规成本,增强智算客户绿电消费约束,S007,official,客户低碳需求受到政策强化
N014,N017,data_flow,4,2024,算法调度,绿色合规成本,将政策与碳约束转化为调度规则,S005,official,政策数据进入调度模型
N001,N002,technology_collaboration,5,all,虚拟电厂,协调成本,公司通过平台组织资源和市场,S004,company,核心主体与平台能力连接
N001,N003,technology_collaboration,4,2024,电力交易,交易成本,公司通过交易平台连接市场,S002,company,能源服务业务与市场交易协同
N001,N004,technology_collaboration,3,2025,零碳园区,协调成本,拓展综合能源服务场景,S002,simulated,园区场景为结构化模拟关系
N001,N017,technology_collaboration,5,all,算法调度,调度成本,把模型能力嵌入公司运营,S004,company,投资者关系记录支撑模型能力
N001,N033,technology_collaboration,4,2025,AIDC,协调成本,连接算力生态和能源服务,S007,industry,算力生态关系为行业逻辑补充
N001,N034,technology_collaboration,3,2025,地方协同,协调成本,推动地方资源和市场规则落地,S006,industry,地方能源平台用于解释区域协同
N001,N032,technology_collaboration,3,2024,设备接入,运维成本,支撑设备数据采集与储能接入,S004,simulated,设备供应关系为结构化模拟
N005,N002,energy_supply,5,all,虚拟电厂,能源成本,为平台提供清洁电力资源池,S005,official,清洁能源是低碳供给基础
N006,N002,energy_supply,4,2024,能源服务,能源成本,提供稳定电热联供资源,S002,company,公司能源资产支持基础供能
N007,N002,dispatch,4,2025,虚拟电厂,调度成本,提高削峰填谷和调节能力,S005,industry,储能增强平台灵活性
N008,N002,dispatch,4,2024,虚拟电厂,柔性成本,形成充换电可调负荷池,S002,company,充换电负荷可参与调节
N009,N002,dispatch,4,2024,需求响应,协调成本,聚合工商业可调节负荷,S006,industry,工商业负荷是需求响应基础
N010,N002,dispatch,3,2025,AIDC,能源成本,将数据中心负荷纳入协同调度,S007,industry,AIDC 负荷用于场景扩展
N005,N004,energy_supply,4,2025,零碳园区,能源成本,降低园区低碳用能成本,S005,industry,清洁能源与园区低碳场景连接
N007,N004,energy_supply,3,2025,零碳园区,柔性成本,增强园区峰谷调节能力,S005,industry,储能支持园区稳定用能
N009,N004,dispatch,3,2025,零碳园区,协调成本,实现园区可调负荷管理,S006,simulated,园区负荷调节为模拟连接
N010,N004,energy_supply,3,2025,AIDC,能源成本,服务园区内算力负荷,S007,simulated,AIDC 园区供能为结构化模拟
N011,N016,data_flow,4,2024,算法调度,调度成本,提升分布式能源和负荷预测精度,S004,company,气象数据进入预测模型
N012,N016,data_flow,4,2024,算法调度,运维成本,把设备状态纳入预测过程,S004,company,设备运行数据进入模型
N013,N018,data_flow,4,2026,收益优化,交易成本,支撑现货和辅助服务收益判断,S004,company,电价数据服务收益模型
N009,N015,data_flow,4,2024,需求响应,协调成本,识别工业负荷可调节窗口,S004,company,工业负荷模型需要用户负荷数据
N010,N015,data_flow,3,2025,AIDC,能源成本,识别算力负荷的稳定供能需求,S007,industry,AIDC 负荷纳入模型场景
N008,N015,data_flow,3,2024,充换电,柔性成本,识别充换电负荷弹性,S002,company,充换电负荷进入工业负荷建模
