event_id,source_type,source_name,source_url,access_date,search_keyword,company_name,company_role,related_party,event_type,risk_type,event_date,year,province,city,case_no,cause,amount_rmb,summary,severity_score,probability_score,evidence_status,notes
OF2021-GUARANTEE,annual_report,中国中铁2021年年度报告,data/raw/annual_reports/2021_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,guarantor_or_support_provider,集团内子公司、房地产项目购房业主等,guarantee,organizational_propagation,2021-12-31,2021,,,,对外实际担保和差额补足承诺,153389862000,年报披露对外实际担保、房地产按揭担保和差额补足承诺，最大风险敞口约1533.90亿元。,5,2,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2021-LITIGATION,annual_report,中国中铁2021年年度报告,data/raw/annual_reports/2021_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,reporting_group,客户、分包商、供应商等,litigation_contingency,compliance,2021-12-31,2021,,,,重大未决诉讼仲裁形成的或有负债,5255606000,年报或有事项披露，已发生但尚不符合负债确认条件的未决诉讼年末诉讼标的金额约52.56亿元。,2,3,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2022-GUARANTEE,annual_report,中国中铁2022年年度报告,data/raw/annual_reports/2022_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,guarantor_or_support_provider,集团内子公司、房地产项目购房业主等,guarantee,organizational_propagation,2022-12-31,2022,,,,对外实际担保和差额补足承诺,154518154000,年报披露对外实际担保、房地产按揭担保和差额补足承诺，最大风险敞口约1545.18亿元。,5,2,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2022-LITIGATION,annual_report,中国中铁2022年年度报告,data/raw/annual_reports/2022_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,reporting_group,客户、分包商、供应商等,litigation_contingency,compliance,2022-12-31,2022,,,,重大未决诉讼仲裁形成的或有负债,5115724000,年报或有事项披露，已发生但尚不符合负债确认条件的未决诉讼年末诉讼标的金额约51.16亿元。,2,3,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2023-GUARANTEE,annual_report,中国中铁2023年年度报告,data/raw/annual_reports/2023_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,guarantor_or_support_provider,集团内子公司、房地产项目购房业主等,guarantee,organizational_propagation,2023-12-31,2023,,,,对外实际担保和差额补足承诺,133374778000,年报披露对外实际担保、房地产按揭担保和差额补足承诺，最大风险敞口约1333.75亿元。,5,2,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2023-LITIGATION,annual_report,中国中铁2023年年度报告,data/raw/annual_reports/2023_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,reporting_group,客户、分包商、供应商等,litigation_contingency,compliance,2023-12-31,2023,,,,重大未决诉讼仲裁形成的或有负债,4327001000,年报或有事项披露，已发生但尚不符合负债确认条件的未决诉讼年末诉讼标的金额约43.27亿元。,2,3,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2024-CONTRACT-ASSET,annual_report,中国中铁2024年年度报告,data/raw/annual_reports/2024_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,issuer,,asset_quality_signal,operation,2024-12-31,2024,,,,应收账款和合同资产占用较高,333120000000,年报资产分析显示，合同资产约3331.2亿元，占总资产14.76%，回款和资产质量需要跟踪。,4,4,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2024-GUARANTEE,annual_report,中国中铁2024年年度报告,data/raw/annual_reports/2024_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,guarantor_or_support_provider,集团内子公司、房地产项目购房业主等,guarantee,organizational_propagation,2024-12-31,2024,,,,对外实际担保和差额补足承诺,83611594000,年报披露对外实际担保、房地产按揭担保和差额补足承诺，最大风险敞口约836.12亿元。,4,2,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2024-LITIGATION,annual_report,中国中铁2024年年度报告,data/raw/annual_reports/2024_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,reporting_group,客户、分包商、供应商等,litigation_contingency,compliance,2024-12-31,2024,,,,重大未决诉讼仲裁形成的或有负债,2575979000,年报或有事项披露，已发生但尚不符合负债确认条件的未决诉讼年末诉讼标的金额约25.76亿元。,2,3,core,Official annual-report seed event; verify before using as final legal-event evidence.
OF2024-PROFIT,annual_report,中国中铁2024年年度报告,data/raw/annual_reports/2024_annual_report.pdf,2026-06-29,中国中铁 年度报告 风险,中国中铁股份有限公司,issuer,,financial_pressure,profitability,2024-12-31,2024,,,,营业收入或归母净利润同比下降,27887000000,年报主要指标显示，营业收入同比-8.2%、归母净利润同比-16.71%，盈利下行进入风险样本。,4,4,core,Official annual-report seed event; verify before using as final legal-event evidence.
